bairro,slug,aliases
Centro,centro,centro-ldn|centro-londrina
Cinco Conjuntos,cinco-conjuntos,5-conjuntos|cinco-cjs|cj-cinco-conjuntos
Conjunto Vivi Xavier,conjunto-vivi-xavier,cj-vivi-xavier|vivi-xavier
Gleba Palhano,gleba-palhano,gl-palhano|gleba-do-palhano|palhano
Heimtal,heimtal,distrito-heimtal|heimtal-londrina
Jardim Alvorada,jardim-alvorada,alvorada|jd-alvorada
Jardim Bandeirantes,jardim-bandeirantes,bandeirantes|jd-bandeirantes
Jardim Bela Suíça,jardim-bela-suica,bela-suica|jd-bela-suica
Jardim Columbia,jardim-columbia,colombia|columbia|jd-columbia
Jardim Higienópolis,jardim-higienopolis,higienopolis|jd-higienopolis
Jardim Igapó,jardim-igapo,igapo|jd-igapo|lago-igapo
Jardim Interlagos,jardim-interlagos,interlagos|jd-interlagos
Jardim Los Angeles,jardim-los-angeles,jd-los-angeles|los-angeles
Jardim Maria Celina,jardim-maria-celina,jd-maria-celina|maria-celina
Jardim Morumbi,jardim-morumbi,jd-morumbi|morumbi
Jardim Petrópolis,jardim-petropolis,jd-petropolis|petropolis
Jardim Presidente,jardim-presidente,jd-presidente|presidente
Jardim Shangri-lá,jardim-shangri-la,jd-shangri-la|shangri-la|shangrila
Jardim Tarobá,jardim-taroba,jd-taroba|taroba
Jardim Terra Bonita,jardim-terra-bonita,jd-terra-bonita|terra-bonita
Jardim Vale dos Tucanos,jardim-vale-dos-tucanos,jd-vale-dos-tucanos|vale-dos-tucanos
Parque Guanabara,parque-guanabara,guanabara|pq-guanabara
Vila Casoni,vila-casoni,casoni|v-casoni|vl-casoni
Vila Ipiranga,vila-ipiranga,ipiranga|v-ipiranga|vl-ipiranga
Vila Nova,vila-nova,v-nova|vl-nova
